식품명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),칼륨(mg),칼슘(mg),철(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg),포화지방산(g),콜레스테롤(mg)
옥수수_찐옥수수,185,55.3,6.68,2.42,34.2,2.36,90.0,306.0,5.0,1.56,1.0,3.7,0.0,0.29,0.0
족발,233,56.2,26.04,13.91,0.93,0.0,345.0,206.0,735.0,1.0,5.0,0.0,0.0,4.66,91.72
코다리찜,94,75.6,14.49,1.35,6.08,2.5,620.0,304.0,73.0,0.38,9.0,0.0,0.0,0.31,60.96
콩나물찜_해물,56,86.2,6.67,1.01,4.97,0.0,223.0,186.0,38.0,0.65,26.0,9.0,0.0,0.21,64.85
풋고추찜,51,85.9,2.31,0.99,8.27,1.44,708.0,297.0,25.0,0.55,29.0,0.0,0.0,0.14,0.0
가자미구이,123,73.6,18.7,5.02,0.66,0.0,315.0,309.0,180.0,0.35,4.0,0.47,0.0,0.82,84.33
갈비구이_소고기,241,56.1,25.91,14.55,1.59,0.26,402.0,273.0,34.0,3.92,6.0,0.87,0.0,5.62,77.75
갈치구이_기름,138,70.6,21.54,5.48,0.6,0.0,297.0,418.0,12.0,0.47,44.0,0.96,2.29,1.31,87.96
고등어구이_석쇠,340,45.9,23.38,25.69,3.79,0.0,126.0,330.0,102.0,1.85,23.0,2.41,3.74,6.95,53.09
곱창구이_소고기,184,64.8,14.89,11.73,4.71,1.11,1315.0,272.0,29.0,1.51,20.0,0.19,0.0,4.11,196.11
김구이_조미김,470,2.2,20.4,30.2,29.0,0.2,4011.0,1214.0,371.0,11.8,198.0,69.8,0.0,3.0,0.0
꼬치구이_닭고기_대파,245,55.2,17.85,14.7,10.35,1.66,417.0,294.0,16.0,1.09,26.0,2.28,0.0,4.16,76.62
닭구이,257,49.9,26.21,13.39,7.8,0.0,751.0,399.0,28.0,0.85,31.0,0.0,0.0,3.75,119.18
닭발구이,196,59.9,18.15,9.41,9.7,0.31,827.0,146.0,39.0,0.66,56.0,0.0,0.0,2.58,81.85
버섯전골,78,84.6,5.14,4.24,4.78,1.18,146.0,129.0,10.0,1.03,4.0,0.81,0.0,0.98,12.33
부대찌개,123,76.2,5.86,6.49,10.27,0.18,239.0,170.0,20.0,0.63,8.0,0.48,0.0,1.68,11.05
샤브샤브_버섯,30,93.1,3.88,0.9,1.57,0.53,51.0,43.0,3.0,0.31,4.0,0.0,0.0,0.62,7.55
샤브샤브_소고기,43,90.5,5.38,1.62,1.8,1.49,96.0,221.0,13.0,0.57,3.0,2.97,0.0,0.18,11.9
소고기전골,63,87.1,7.89,3.24,0.46,0.05,299.0,176.0,23.0,0.58,17.0,0.5,0.0,0.69,16.08
순두부찌개_김치,35,92.6,2.98,1.59,2.17,0.32,151.0,126.0,14.0,0.39,4.0,0.0,0.0,0.46,4.6
알탕,39,90.1,6.37,0.74,1.74,0.0,250.0,164.0,11.0,0.32,23.0,5.03,0.89,0.16,80.81
오리백숙,112,80.6,10.59,7.5,0.5,0.25,161.0,136.0,12.0,1.19,16.0,0.74,0.3,1.56,51.85
오리탕,121,76.4,9.5,6.56,6.08,3.58,317.0,297.0,32.0,1.25,14.0,1.04,0.0,1.33,38.47
오징어찌개,34,90.5,3.3,0.22,4.77,0.45,285.0,197.0,17.0,0.29,18.0,1.04,0.0,0.05,26.34
청국장찌개,47,89.8,5.03,2.11,1.92,0.0,242.0,157.0,27.0,0.72,4.0,0.0,0.0,0.45,2.61
추어탕,54,89.4,3.24,3.18,3.07,0.0,246.0,95.0,135.0,0.82,26.0,7.37,0.0,0.31,15.84
콩비지찌개,69,85.2,6.74,3.08,3.57,3.25,289.0,277.0,23.0,0.59,11.0,2.14,0.0,0.51,7.12
호박찌개_고추장,41,90.0,2.08,0.99,5.96,0.56,211.0,217.0,13.0,0.47,22.0,0.0,0.0,0.1,0.0
고구마_찐고구마,139,64.6,1.67,0.24,32.47,16.32,10.0,402.0,20.0,0.58,2.0,2.29,0.0,0.05,0.0
가오리찜,102,75.7,21.99,1.39,0.46,0.06,151.0,11.0,8.0,0.09,55.0,0.0,0.0,0.26,91.28
